brand,RAM_GB,HDD_GB,GHz,price,brand_cat
MSI,4,1000,3.2,70900,4
Microsoft,16,1000,1.8,49900,11
Microsoft,8,500,3.0,66900,11
Acer,8,500,3.0,61900,2
hp,8,1000,1.8,46900,12
Dell,16,2000,3.2,101900,8
asus,16,500,2.5,62900,7
Asus,4,1000,1.8,30900,10
Samsung,16,2000,3.2,95900,0
Dell,4,500,1.8,47900,8
DELL,4,500,2.3,53900,5
hp,4,1000,2.3,51900,12
Samsung,4,1000,2.3,43900,0
asus,4,500,2.3,41900,7
Samsung,8,1000,1.8,50900,0
HP,4,2000,3.2,75900,3
Apple,4,1000,2.3,115900,9
hp,16,500,2.3,47900,12
asus,16,2000,3.0,74900,7
Samsung,4,500,3.2,71900,0
Samsung,16,500,2.3,53900,0
Lenovo,4,500,1.8,25900,1
HP,16,500,2.3,54900,3
MSI,8,500,3.0,64900,4
DELL,4,1000,2.5,68900,5
Dell,4,2000,1.8,59900,8
Acer,8,2000,2.3,60900,2
DELL,8,2000,3.0,87900,5
Dell,8,500,2.3,65900,8
DELL,4,2000,3.0,82900,5
Dell,16,500,2.3,70900,8
Apple,4,1000,1.8,108900,9
Lenovo,4,2000,1.8,25900,1
Samsung,4,500,1.8,42900,0
Samsung,16,500,3.2,78900,0
Microsoft,8,1000,1.8,41900,11
Acer,4,500,3.0,57900,2
Microsoft,8,1000,3.0,73900,11
Lenovo,4,500,1.8,16900,1
Lenovo,8,2000,2.5,51900,1
asus,8,500,2.3,51900,7
Lenovo,16,500,1.8,38900,1
MSI,16,1000,3.2,86900,4
Acer,4,500,3.2,78900,2
MSI,8,500,1.8,41900,4
asus,8,500,3.0,63900,7
Toshiba,4,1000,3.0,64900,6
DELL,8,1000,2.5,72900,5
HP,16,2000,2.3,64900,3
Apple,16,500,3.2,144900,9
hp,8,1000,2.3,50900,12
DELL,16,2000,2.3,71900,5
Microsoft,8,2000,2.3,58900,11
Samsung,4,2000,3.2,81900,0
Microsoft,8,1000,3.2,74900,11
hp,4,1000,3.0,57900,12
Lenovo,4,1000,1.8,22900,1
Microsoft,4,2000,1.8,48900,11
Toshiba,16,500,2.5,55900,6
Asus,16,1000,1.8,53900,10
Acer,16,2000,3.2,85900,2
HP,4,500,2.3,42900,3
Dell,8,1000,2.3,66900,8
MSI,16,1000,3.2,86900,4
Apple,16,500,3.0,137900,9
MSI,4,500,2.5,44900,4
asus,4,500,3.2,63900,7
asus,8,1000,3.0,61900,7
Toshiba,8,1000,1.8,49900,6
Apple,8,2000,2.3,118900,9
Dell,8,1000,2.3,73900,8
MSI,4,500,1.8,33900,4
Toshiba,4,1000,2.5,58900,6
Lenovo,8,1000,3.2,66900,1
asus,8,1000,2.3,50900,7
Acer,4,2000,3.2,73900,2
Microsoft,16,1000,1.8,49900,11
Apple,16,500,2.3,115900,9
Lenovo,8,2000,1.8,35900,1
MSI,8,500,1.8,45900,4
DELL,4,2000,1.8,64900,5
Acer,16,2000,2.3,55900,2
asus,16,2000,2.5,67900,7
Asus,4,500,3.0,58900,10
Apple,4,500,2.5,118900,9
hp,16,1000,2.3,57900,12
DELL,16,2000,3.0,97900,5
Toshiba,8,500,2.3,53900,6
Apple,8,1000,3.0,134900,9
DELL,4,500,2.3,62900,5
Acer,8,2000,2.5,64900,2
Toshiba,16,500,3.2,84900,6
Apple,16,500,2.5,127900,9
Samsung,8,2000,2.5,70900,0
Apple,4,500,2.5,114900,9
Dell,8,1000,1.8,63900,8
hp,4,2000,3.2,82900,12
hp,4,1000,2.5,51900,12
Acer,4,2000,1.8,50900,2
DELL,4,500,1.8,50900,5
Apple,8,2000,3.2,148900,9
Dell,4,1000,3.0,79900,8
DELL,4,1000,1.8,49900,5
Acer,8,500,3.2,73900,2
Microsoft,8,500,2.5,58900,11
Samsung,8,1000,2.5,61900,0
Microsoft,16,2000,2.3,66900,11
DELL,16,500,2.5,77900,5
Samsung,8,2000,1.8,52900,0
DELL,8,2000,3.0,94900,5
Asus,8,2000,1.8,45900,10
Acer,8,2000,3.0,75900,2
MSI,4,500,3.2,74900,4
Microsoft,16,2000,1.8,44900,11
DELL,16,1000,3.2,91900,5
HP,4,1000,3.0,64900,3
MSI,16,1000,1.8,50900,4
Dell,4,1000,3.0,76900,8
Lenovo,8,1000,2.5,41900,1
Asus,8,500,3.2,69900,10
asus,8,1000,3.0,74900,7
Microsoft,16,500,3.2,79900,11
MSI,4,500,2.5,43900,4
DELL,4,500,3.0,71900,5
DELL,8,500,3.0,80900,5
Asus,8,1000,2.5,51900,10
Dell,16,2000,1.8,70900,8
Apple,8,2000,3.2,151900,9
unknown,4,500,3.0,63900,13
DELL,4,1000,3.2,83900,5
Toshiba,8,1000,1.8,48900,6
asus,8,500,2.3,45900,7
Apple,8,1000,2.5,126900,9
DELL,16,2000,3.0,91900,5
Microsoft,16,1000,3.0,77900,11
Dell,4,2000,3.0,77900,8
MSI,8,2000,1.8,41900,4
Dell,4,500,2.3,56900,8
Samsung,8,2000,2.3,54900,0
Asus,16,500,3.0,68900,10
Asus,8,1000,2.3,50900,10
DELL,16,1000,1.8,60900,5
MSI,16,1000,2.5,72900,4
Acer,4,500,2.3,47900,2
HP,8,1000,2.5,58900,3
Dell,8,500,3.2,89900,8
Toshiba,8,1000,2.5,61900,6
HP,4,500,3.2,67900,3
Samsung,4,500,3.0,57900,0
Toshiba,16,1000,1.8,50900,6
MSI,4,500,2.3,38900,4
Acer,8,500,1.8,44900,2
Microsoft,4,1000,3.0,62900,11
Asus,4,500,3.0,60900,10
Microsoft,16,1000,3.2,82900,11
DELL,8,500,3.0,82900,5
asus,8,500,3.2,85900,7
Toshiba,8,500,3.0,61900,6
hp,4,2000,3.0,69900,12
